Tradenumber,date,time,price,volume,aggressorside,buyer,seller
33746,2021-01-23,20:11:40,83.6000,20,bid,,
33748,2021-01-23,20:11:40,83.6000,49,bid,,
33750,2021-01-23,20:11:40,83.6000,49,bid,,
33751,2021-01-23,20:11:40,83.0000,98,ask,,
33753,2021-01-23,20:11:41,83.6000,49,bid,,
33754,2021-01-23,20:11:41,83.0000,49,ask,,
33756,2021-01-23,20:11:44,83.6000,20,bid,,
33758,2021-01-23,20:12:04,83.2000,20,bid,,
33759,2021-01-23,20:12:04,83.2000,20,bid,,
33761,2021-01-23,20:12:04,82.6000,20,ask,,
33763,2021-01-23,20:12:04,82.6000,1,ask,,
33765,2021-01-23,20:12:04,83.2000,40,bid,,
33766,2021-01-23,20:12:04,83.2000,8,bid,,
33767,2021-01-23,20:12:04,83.2000,48,bid,,
33769,2021-01-23,20:12:04,82.6000,48,ask,,
33770,2021-01-23,20:12:04,83.2000,40,bid,,
33772,2021-01-23,20:12:04,83.2000,24,bid,,
33773,2021-01-23,20:12:04,82.6000,72,ask,,
33775,2021-01-23,20:12:05,82.6000,1,ask,,
33777,2021-01-23,20:12:06,83.1000,1,bid,,
33779,2021-01-23,20:12:08,83.1000,1,bid,,
33781,2021-01-23,20:12:08,83.1000,18,bid,,
33783,2021-01-23,20:12:10,83.2000,1,bid,,
33786,2021-01-23,20:12:11,83.0000,51,bid,,
33787,2021-01-23,20:12:11,83.0000,51,bid,,
33788,2021-01-23,20:12:11,82.4000,51,ask,,
33791,2021-01-23,20:12:12,83.0000,49,bid,,
33792,2021-01-23,20:12:12,83.0000,49,bid,,
33793,2021-01-23,20:12:12,82.4000,97,ask,,
33794,2021-01-23,20:12:12,82.4000,49,ask,,
33800,2021-01-23,20:12:13,83.1000,59,bid,,
33803,2021-01-23,20:12:16,83.1000,1,bid,,
33805,2021-01-23,20:12:18,83.0000,1,bid,,
33808,2021-01-23,20:12:22,83.0000,1,bid,,
33810,2021-01-23,20:12:24,83.2000,1,bid,,
33812,2021-01-23,20:12:26,83.3000,1,bid,,
33814,2021-01-23,20:12:26,82.9000,49,ask,,
33815,2021-01-23,20:12:26,83.4000,49,bid,,
33816,2021-01-23,20:12:28,82.9000,1,ask,,
33818,2021-01-23,20:12:28,83.5000,10,bid,,
33821,2021-01-23,20:12:29,83.5000,21,bid,,
33824,2021-01-23,20:12:29,83.1000,50,ask,,
33825,2021-01-23,20:12:29,83.1000,50,ask,,
33828,2021-01-23,20:12:29,83.7000,50,bid,,
33829,2021-01-23,20:12:29,83.1000,41,ask,,
33830,2021-01-23,20:12:29,83.1000,41,ask,,
33831,2021-01-23,20:12:29,83.7000,41,bid,,
33834,2021-01-23,20:12:29,83.7000,49,bid,,
33835,2021-01-23,20:12:29,83.1000,18,ask,,
33836,2021-01-23,20:12:29,78.0000,18,ask,,
33837,2021-01-23,20:12:30,83.7000,36,bid,,
33838,2021-01-23,20:12:32,83.0000,1,ask,,
33839,2021-01-23,20:12:34,82.9000,1,ask,,
33841,2021-01-23,20:12:37,82.9000,1,ask,,
33843,2021-01-23,20:12:37,83.2000,49,ask,,
33844,2021-01-23,20:12:37,83.2000,33,ask,,
33846,2021-01-23,20:12:37,83.8000,33,bid,,
33847,2021-01-23,20:12:37,83.2000,20,ask,,
33849,2021-01-23,20:12:37,83.2000,1,ask,,
33850,2021-01-23,20:12:37,83.8000,49,bid,,
33852,2021-01-23,20:12:38,83.2000,40,ask,,
33853,2021-01-23,20:12:40,83.2000,1,ask,,
33855,2021-01-23,20:12:41,83.2000,20,ask,,
33856,2021-01-23,20:12:42,83.0000,1,ask,,
33857,2021-01-23,20:12:44,83.0000,1,ask,,
33858,2021-01-23,20:12:48,83.2000,1,ask,,
33859,2021-01-23,20:12:50,83.2000,1,ask,,
33861,2021-01-23,20:12:52,83.4000,1,ask,,
33862,2021-01-23,20:12:52,83.4000,20,ask,,
33863,2021-01-23,20:12:52,83.4000,20,ask,,
33864,2021-01-23,20:12:52,84.0000,20,bid,,
33866,2021-01-23,20:12:52,83.4000,1,ask,,
33868,2021-01-23,20:12:54,83.5000,1,ask,,
33873,2021-01-23,20:12:56,83.7000,60,ask,,
33874,2021-01-23,20:12:57,83.7000,3,ask,,
33877,2021-01-23,20:12:57,83.7000,19,ask,,
33879,2021-01-23,20:13:00,83.7000,3,ask,,
33881,2021-01-23,20:13:03,83.5000,1,ask,,
33883,2021-01-23,20:13:06,83.4000,1,ask,,
33885,2021-01-23,20:13:07,83.4000,1,ask,,
33886,2021-01-23,20:13:07,83.4000,1,ask,,
33887,2021-01-23,20:13:07,84.0000,1,bid,,
33889,2021-01-23,20:13:08,83.6000,20,ask,,
33890,2021-01-23,20:13:08,83.6000,20,ask,,
33891,2021-01-23,20:13:08,84.2000,20,bid,,
33892,2021-01-23,20:13:09,83.6000,2,ask,,
33895,2021-01-23,20:13:12,83.6000,2,ask,,
33898,2021-01-23,20:13:13,83.7000,12,ask,,
33900,2021-01-23,20:13:15,83.7000,3,ask,,
33903,2021-01-23,20:13:16,83.9000,13,ask,,
33904,2021-01-23,20:13:16,83.9000,40,ask,,
33905,2021-01-23,20:13:16,84.5000,13,bid,,
33907,2021-01-23,20:13:16,83.9000,10,ask,,
33910,2021-01-23,20:13:18,84.0000,20,ask,,
33911,2021-01-23,20:13:18,84.0000,13,ask,,
33912,2021-01-23,20:13:18,84.6000,13,bid,,
33914,2021-01-23,20:13:18,84.0000,5,ask,,
33916,2021-01-23,20:13:19,84.1000,2,ask,,
