Trade number, Timestamp, price, volume, aggressor side, buyer, seller
46386,2021-01-23 22:24:06,92.6000,10,ask,,
46387,2021-01-23 22:24:09,92.4000,82,bid,,
46388,2021-01-23 22:24:09,92.5000,22,ask,,
46389,2021-01-23 22:24:09,92.5000,40,ask,,
46390,2021-01-23 22:24:09,92.5000,20,ask,,
46391,2021-01-23 22:24:09,92.4000,82,bid,,
46392,2021-01-23 22:24:12,92.3000,20,bid,,
46393,2021-01-23 22:24:12,92.4000,20,ask,,
46394,2021-01-23 22:24:13,92.2000,10,ask,,
46395,2021-01-23 22:24:15,92.1000,30,bid,,
46396,2021-01-23 22:24:15,92.2000,30,ask,,
46397,2021-01-23 22:24:17,92.1000,10,ask,,
46398,2021-01-23 22:24:18,92.1000,1,bid,,
46399,2021-01-23 22:24:18,92.1000,1,bid,,
46400,2021-01-23 22:24:18,92.1000,1,bid,,
46401,2021-01-23 22:24:18,92.1000,1,bid,,
46402,2021-01-23 22:24:18,92.1000,1,bid,,
46403,2021-01-23 22:24:18,92.1000,1,bid,,
46404,2021-01-23 22:24:20,92.0000,10,bid,,
46405,2021-01-23 22:24:20,92.1000,10,ask,,
46406,2021-01-23 22:24:21,92.0000,10,ask,,
46407,2021-01-23 22:24:24,92.0000,10,ask,,
46408,2021-01-23 22:24:33,92.2000,20,ask,,
46409,2021-01-23 22:24:38,92.2000,10,ask,,
46410,2021-01-23 22:24:42,92.0000,10,ask,,
46411,2021-01-23 22:24:46,91.9000,10,ask,,
46412,2021-01-23 22:24:50,92.0000,10,ask,,
46413,2021-01-23 22:24:53,91.8000,1,ask,,
46414,2021-01-23 22:24:53,91.8000,1,ask,,
46415,2021-01-23 22:24:53,91.8000,1,ask,,
46416,2021-01-23 22:24:53,91.8000,1,ask,,
46417,2021-01-23 22:24:53,91.8000,1,ask,,
46418,2021-01-23 22:24:53,91.8000,1,ask,,
46419,2021-01-23 22:24:53,91.8000,1,ask,,
46420,2021-01-23 22:24:53,91.8000,3,ask,,
46421,2021-01-23 22:24:57,91.8000,10,ask,,
46422,2021-01-23 22:25:00,91.8000,10,ask,,
46423,2021-01-23 22:25:04,91.8000,10,ask,,
46424,2021-01-23 22:25:07,91.8000,40,ask,,
46425,2021-01-23 22:25:07,91.3000,22,bid,,
46426,2021-01-23 22:25:07,91.7000,18,bid,,
46427,2021-01-23 22:25:08,91.7000,1,ask,,
46428,2021-01-23 22:25:08,91.7000,1,ask,,
46429,2021-01-23 22:25:08,91.7000,1,ask,,
46430,2021-01-23 22:25:08,91.7000,1,ask,,
46431,2021-01-23 22:25:08,91.7000,1,ask,,
46432,2021-01-23 22:25:08,91.7000,1,ask,,
46433,2021-01-23 22:25:08,91.7000,1,ask,,
46434,2021-01-23 22:25:08,91.7000,1,ask,,
46435,2021-01-23 22:25:08,91.7000,1,ask,,
46436,2021-01-23 22:25:08,91.7000,1,ask,,
46437,2021-01-23 22:25:11,91.7000,1,ask,,
46438,2021-01-23 22:25:11,91.7000,1,ask,,
46439,2021-01-23 22:25:11,91.7000,1,ask,,
46440,2021-01-23 22:25:11,91.7000,1,ask,,
46441,2021-01-23 22:25:11,91.7000,1,ask,,
46442,2021-01-23 22:25:11,91.7000,1,ask,,
46443,2021-01-23 22:25:11,91.7000,1,ask,,
46444,2021-01-23 22:25:11,91.7000,1,ask,,
46445,2021-01-23 22:25:11,91.7000,1,ask,,
46446,2021-01-23 22:25:11,91.7000,1,ask,,
46447,2021-01-23 22:25:13,91.2000,1,ask,,
46448,2021-01-23 22:25:15,91.7000,1,ask,,
46449,2021-01-23 22:25:15,91.7000,1,ask,,
46450,2021-01-23 22:25:15,91.7000,1,ask,,
46451,2021-01-23 22:25:15,91.7000,1,ask,,
46452,2021-01-23 22:25:15,91.7000,1,ask,,
46453,2021-01-23 22:25:15,91.6000,5,ask,,
46454,2021-01-23 22:25:17,91.6000,15,ask,,
46455,2021-01-23 22:25:17,91.5000,15,bid,,
46456,2021-01-23 22:25:19,91.5000,10,ask,,
46457,2021-01-23 22:25:24,91.2000,6,ask,,
46458,2021-01-23 22:25:29,91.3000,6,ask,,
46459,2021-01-23 22:25:37,91.6000,1,bid,,
46460,2021-01-23 22:25:37,91.6000,1,bid,,
46461,2021-01-23 22:25:37,91.6000,1,bid,,
46462,2021-01-23 22:25:37,91.6000,1,bid,,
46463,2021-01-23 22:25:37,91.6000,1,bid,,
46464,2021-01-23 22:25:37,91.6000,1,bid,,
46465,2021-01-23 22:25:37,91.6000,1,bid,,
46466,2021-01-23 22:25:37,91.6000,1,bid,,
46467,2021-01-23 22:25:37,91.6000,1,bid,,
46468,2021-01-23 22:25:37,91.6000,1,bid,,
46469,2021-01-23 22:25:44,91.7000,22,bid,,
46470,2021-01-23 22:25:44,91.7000,17,ask,,
