Tradenumber,Timestamp,price,volume,aggressorside,buyer,seller
33745,2021-01-23,20:11:40,83.7000,20,ask,,
33747,2021-01-23,20:11:40,83.6000,49,ask,,
33749,2021-01-23,20:11:40,83.6000,49,ask,,
33752,2021-01-23,20:11:41,83.6000,49,ask,,
33755,2021-01-23,20:11:44,83.6000,20,ask,,
33757,2021-01-23,20:12:04,83.4000,20,ask,,
33760,2021-01-23,20:12:04,83.4000,1,bid,,
33762,2021-01-23,20:12:04,83.4000,40,ask,,
33764,2021-01-23,20:12:04,83.4000,8,ask,,
33768,2021-01-23,20:12:04,83.2000,40,ask,,
33771,2021-01-23,20:12:04,83.2000,24,ask,,
33774,2021-01-23,20:12:05,83.2000,1,ask,,
33776,2021-01-23,20:12:05,83.3000,1,bid,,
33778,2021-01-23,20:12:07,83.2000,1,bid,,
33780,2021-01-23,20:12:08,83.1000,18,ask,,
33782,2021-01-23,20:12:09,83.2000,1,bid,,
33784,2021-01-23,20:12:11,83.1000,2,ask,,
33785,2021-01-23,20:12:11,83.1000,49,ask,,
33789,2021-01-23,20:12:11,83.2000,1,bid,,
33790,2021-01-23,20:12:12,83.1000,49,ask,,
33795,2021-01-23,20:12:12,83.0000,40,ask,,
33796,2021-01-23,20:12:12,83.0000,9,ask,,
33797,2021-01-23,20:12:13,83.0000,1,ask,,
33798,2021-01-23,20:12:13,83.0000,10,ask,,
33799,2021-01-23,20:12:13,83.0000,39,ask,,
33801,2021-01-23,20:12:13,83.1000,1,bid,,
33802,2021-01-23,20:12:15,83.0000,1,bid,,
33804,2021-01-23,20:12:17,82.9000,1,bid,,
33806,2021-01-23,20:12:19,83.0000,1,bid,,
33807,2021-01-23,20:12:21,82.9000,1,bid,,
33809,2021-01-23,20:12:23,82.9000,1,bid,,
33811,2021-01-23,20:12:26,82.9000,1,bid,,
33813,2021-01-23,20:12:26,82.9000,49,bid,,
33817,2021-01-23,20:12:28,82.9000,10,bid,,
33819,2021-01-23,20:12:28,82.9000,20,bid,,
33820,2021-01-23,20:12:29,82.9000,1,bid,,
33822,2021-01-23,20:12:29,82.9000,49,bid,,
33823,2021-01-23,20:12:29,82.9000,1,bid,,
33826,2021-01-23,20:12:29,83.0000,1,bid,,
